iter	Passed	Remaining
550	12841	22116
551	12862	22090
552	12887	22069
553	12910	22046
554	12931	22017
555	12956	21997
556	12981	21977
557	13010	21963
558	13040	21952
559	13072	21943
560	13102	21930
561	13131	21916
562	13165	21912
563	13201	21908
564	13238	21908
565	13271	21899
566	13300	21886
567	13334	21879
568	13365	21868
569	13394	21854
570	13424	21840
571	13457	21833
572	13490	21825
573	13519	21810
574	13550	21798
575	13585	21793
576	13617	21783
577	13651	21776
578	13679	21759
579	13708	21745
580	13740	21734
581	13774	21726
582	13808	21718
583	13840	21709
584	13872	21698
585	13901	21683
586	13936	21676
587	13973	21672
588	14002	21658
589	14034	21646
590	14066	21634
591	14097	21622
592	14122	21600
593	14148	21580
594	14181	21570
595	14213	21558
596	14245	21547
597	14279	21539
598	14308	21521
599	14337	21506
600	14365	21488
601	14393	21470
602	14416	21445
603	14439	21420
604	14463	21396
605	14486	21371
606	14515	21355
607	14548	21343
608	14579	21330
609	14607	21312
610	14629	21286
611	14651	21258
612	14670	21228
613	14689	21197
614	14710	21168
615	14733	21143
616	14756	21117
617	14779	21093
618	14802	21067
619	14825	21042
620	14846	21015
621	14869	20989
622	14891	20962
623	14914	20937
624	14936	20911
625	14959	20885
626	14980	20858
627	15002	20831
628	15024	20804
629	15046	20778
630	15069	20753
631	15093	20729
632	15116	20705
633	15138	20678
634	15159	20649
635	15181	20624
636	15202	20596
637	15224	20570
638	15247	20544
639	15271	20520
640	15293	20494
641	15316	20469
642	15337	20441
643	15358	20414
644	15381	20389
645	15403	20363
646	15425	20337
647	15449	20313
648	15472	20288
649	15495	20263
650	15516	20235
651	15539	20210
652	15564	20188
653	15589	20165
654	15611	20139
655	15633	20113
656	15668	20104
657	15691	20079
658	15714	20054
659	15737	20029
660	15759	20003
661	15779	19974
662	15801	19948
663	15824	19923
664	15847	19898
665	15867	19869
666	15890	19845
667	15911	19818
668	15935	19793
669	15958	19769
670	15982	19746
671	16005	19720
672	16029	19697
673	16052	19673
674	16077	19649
675	16100	19625
676	16123	19600
